contract_decimals,contract_name,contract_ticker_symbol,contract_address,supports_erc,logo_url,quote_rate,rank
2,"CRYPTOFOREX","CFX","0x226f15cdbaa36814ce3cb287563069c32cc1a293",,"https://logos.covalenthq.com/tokens/0x226f15cdbaa36814ce3cb287563069c32cc1a293.png","0.0027421028",10000
8,"KuaiToken","KT","0x26ddf6cabadcbf4f013841bd8d914830beb0d984",,"https://logos.covalenthq.com/tokens/0x26ddf6cabadcbf4f013841bd8d914830beb0d984.png","0.1475908",10000
18,"Nestree","EGG","0x65ccd72c0813ce6f2703593b633202a0f3ca6a0c",,"https://logos.covalenthq.com/tokens/0x65ccd72c0813ce6f2703593b633202a0f3ca6a0c.png","0.0058205384",10000
8,"SGB","SGB","0x4b4eb5c44d50bfd44124688c6754633f7e258b01",,"https://logos.covalenthq.com/tokens/0x4b4eb5c44d50bfd44124688c6754633f7e258b01.png","4.781863",10000
18,"Chad Link Set","CHADLINK","0x19f4a2f8e21915376f1429c26a3a9b9b1db5ff5a",,"https://logos.covalenthq.com/tokens/0x19f4a2f8e21915376f1429c26a3a9b9b1db5ff5a.png","632.04126",10000
18,"Blockchain Adventurers Guild","BAG","0xf33121a2209609cadc7349acc9c40e41ce21c730",,"https://logos.covalenthq.com/tokens/0xf33121a2209609cadc7349acc9c40e41ce21c730.png","13.525728",10000
18,"Our Pay","OUR","0xdff3d69a00759449f091561a0af99a218982bd7f",,"https://logos.covalenthq.com/tokens/0xdff3d69a00759449f091561a0af99a218982bd7f.png","0.01280835",10000
8,"DET Token","DET","0xf4e4f9e5ba2b0892c289ef2de60ca44e1f6b2527",,"https://logos.covalenthq.com/tokens/0xf4e4f9e5ba2b0892c289ef2de60ca44e1f6b2527.png","0.0075101173",10000
18,"1X Short Exchange Token Index Token","EXCHHEDGE","0xf8cc67e304f8e1a351ed83b4dbbe6b4076d51376",,"https://logos.covalenthq.com/tokens/0xf8cc67e304f8e1a351ed83b4dbbe6b4076d51376.png","186.9742",10000
8,"SuperEdge","ECT","0x4ccc3759eb48faf1c6cfadad2619e7038db6b212",,"https://logos.covalenthq.com/tokens/0x4ccc3759eb48faf1c6cfadad2619e7038db6b212.png","0.000011870575",10000
18,"3X Short Dragon Index Token","DRGNBEAR","0x223fb5c14c00cfb70cf56bb63c2eef2d74fe1a78",,"https://logos.covalenthq.com/tokens/0x223fb5c14c00cfb70cf56bb63c2eef2d74fe1a78.png","0.0007913716",10000
18,"Meta Network","Meta","0x8807e69dc04155af64172cd6f0b4738f8068d0d4",,"https://logos.covalenthq.com/tokens/0x8807e69dc04155af64172cd6f0b4738f8068d0d4.png","9.091673",10000
18,"CryptoTask","CTF","0x4545750f39af6be4f237b6869d4ecca928fd5a85",,"https://logos.covalenthq.com/tokens/0x4545750f39af6be4f237b6869d4ecca928fd5a85.png","1.8557665",10000
8,"7ELEVEN","7E","0x186a33d4dbcd700086a26188dcb74e69be463665",,"https://logos.covalenthq.com/tokens/0x186a33d4dbcd700086a26188dcb74e69be463665.png",0,10000
18,"Oxycoin","OXY","0x869b1f57380ae501d387b19262efd3c0eb7501b0",,"https://logos.covalenthq.com/tokens/0x869b1f57380ae501d387b19262efd3c0eb7501b0.png",0,10000
8,"Lite Gold","LTG","0xb4c9abc8a74bd2e0e0b7ac5ece30792e65d86c59",,"https://logos.covalenthq.com/tokens/0xb4c9abc8a74bd2e0e0b7ac5ece30792e65d86c59.png","0.0003956858",10000
18,"KVIChain","KVI","0x8868ff4893113193313465a0ccc5f1bd370d7751",,"https://logos.covalenthq.com/tokens/0x8868ff4893113193313465a0ccc5f1bd370d7751.png","0.00053813274",10000
18,"YFIA","YFIA","0xd778e4f5450ede47289fef874a37b79db77c4cf1",,"https://logos.covalenthq.com/tokens/0xd778e4f5450ede47289fef874a37b79db77c4cf1.png","2.866348",10000
18,"Betnomi","BNI","0x4981553e8ccf6df916b36a2d6b6f8fc567628a51",,"https://logos.covalenthq.com/tokens/0x4981553e8ccf6df916b36a2d6b6f8fc567628a51.png","0.0061410437",10000
